event_id,title,description,organizing_institute,start_date,end_date,location,event_mode,image_url,exhibitor_registration_link,attendee_registration_link,is_active
f39700ca-2615-4f45-8480-bff8451049e2,Discover pathways for export to USA for Indian Exporters and MSMEs with Walmart,Discover pathways for export to USA for Indian Exporters and MSMEs with Walmart,Consulate General of India - New York,2026-05-29,2026-05-29,Virtual,VIRTUAL,http://indiausatrade.mea.gov.in/api/public/image/stream?key=hero-slides%2F20260516T073144Z-716435-68e14c6c-Media.jpg,,https://indiausatrade.mea.gov.in/?openUpcomingRegister=1,1
3f00d33b-b47b-4626-8adb-3daf295a1584,AAPI Festival of Tea at Smorgasburg – New York,"The Consulate General of India, New York is organizing the AAPI Festival of Tea at Smorgasburg, celebrating tea, culture, and community. The event will showcase Indian tea traditions and engage visitors during the Smorgasburg weekend festival in Brooklyn, New York. The festival is free and open to all participants.",Consulate General of India - New York,2026-05-23,2026-05-24,Virtual,VIRTUAL,http://indiausatrade.mea.gov.in/api/public/image/stream?key=hero-slides%2F20260522T070854Z-650325-0570465e-new_event.jpeg,,https://indiausatrade.mea.gov.in/?openUpcomingRegister=1,1
58917795-8faa-4f08-ba71-99d52acd2eaa,Overview and Compliance Requirements in the US Market – Interaction with Costco Wholesale,"Join an exclusive live webinar on Overview and Compliance Requirements in the US Market with interaction from Costco Wholesale. The session will provide insights into entering the US market, understanding compliance requirements, and exploring business opportunities with one of the world's leading retail chains.",Consulate General of India - New York,2026-04-23,2026-04-23,Virtual,VIRTUAL,http://indiausatrade.mea.gov.in/api/public/image/stream?key=hero-slides%2F20260603T133758Z-277045-214d14de-costo.png,,https://indiausatrade.mea.gov.in/?openUpcomingRegister=1,1
e6e5c1a6-3beb-484f-83bc-3acd87cec6e3,Taste & Spirit of India,"Panel Discussion on Bridging the Tables- Sourced from India, served in America
Savor the rich, diverse flavors of India with authentic cuisine from different states",,2026-06-18,2026-06-18,"Consulate General of India, New York",PHYSICAL,http://indiausatrade.mea.gov.in/api/public/image/stream?key=hero-slides%2F20260608T153344Z-262368-9af2e671-Portal.jpg,,https://indiausatrade.mea.gov.in/?openUpcomingRegister=1,1
94b22853-2c73-4abd-8bb6-fb55599a0bf8,Building Trust in the US Market: Matching American Engineering Specs to Close Deals,"A webinar for Engineering and MSME exporters from India focused on understanding U.S. engineering standards, quality expectations, and business requirements for entering the U.S. market. Participants will have the opportunity to connect with global supply chain leaders from Lockheed Martin and Flowserve, strengthen competitiveness, build long-term business partnerships, and explore new opportunities in the U.S. market.",Consulate General of India - Atlanta,2026-06-30,2026-06-30,Virtual,VIRTUAL,http://indiausatrade.mea.gov.in/api/public/image/stream?key=hero-slides%2F20260617T065832Z-122831-48f18940-event_5.jpeg,,https://indiausatrade.mea.gov.in/?openUpcomingRegister=1,1
27d3ca83-8487-4967-8691-6581d2159da6,Briefing Session with Amazon on India - U.S. Trade Facilitation Portal,"The Consulate General of India, Seattle, in partnership with the Consulate General of India, New York, is organizing a briefing session with Amazon on the India-U.S. Trade Facilitation Portal. The session aims to help Indian exporters and businesses understand export opportunities, trade facilitation processes, and collaboration possibilities through the portal.",Consulate General of India - Seattle,2026-06-24,2026-06-24,Virtual,VIRTUAL,http://indiausatrade.mea.gov.in/api/public/image/stream?key=hero-slides%2F20260618T181355Z-354790-4c5490a6-resized-image.png,,https://indiausatrade.mea.gov.in/?openUpcomingRegister=1,1
a1c5d3f3-d0ad-4a9b-a49b-e1e4b0f6f928,1st Virtual Exhibition and Buyer Seller Meet,An immersive showcase of Indian Textile and Apparel In collaboration with Apparel Export Promotion Council,Consulate General of India - New York,2026-06-29,2026-06-29,Virtual,VIRTUAL,http://indiausatrade.mea.gov.in/api/public/image/stream?key=hero-slides%2F20260619T181907Z-346433-b9c8e7ad-Gemini_Generated_Image_a3l7c8a3l7c8a3l7.png,,https://indiausatrade.mea.gov.in/?openUpcomingRegister=1,1
c58df38d-b9b2-43b2-8034-480da7c6beea,Indian Mango Festival 2026,"Join us for the Indian Mango Festival 2026, organized by the Consulate General of India, New York. Experience and savor the finest varieties of Indian mangoes, including Kesar and Langra, known for their rich aroma and irresistible taste. Celebrate the ""King of Fruits"" and enjoy an authentic taste of India.",Consulate General of India - New York,2026-06-23,2026-06-23,"Time Out Market Union Square 124 E 14th St, New York, NY 10003, USA",PHYSICAL,http://indiausatrade.mea.gov.in/api/public/image/stream?key=hero-slides%2F20260623T053357Z-413481-da8d344c-Gemini_Generated_Image_lllyc4lllyc4llly.png,,https://indiausatrade.mea.gov.in/?openUpcomingRegister=1,1
c5120992-7804-4349-8793-a5d89c0445a0,India- US Travel Corridor,Building Bridges Creating Futures Exploring India Together,Consulate General of India - New York,2026-08-25,2026-08-25,Virtual,VIRTUAL,http://indiausatrade.mea.gov.in/api/public/image/stream?key=hero-slides%2F20260821T161506Z-623191-f52188c2-WhatsApp%20Image%202026-08-21%20at%2011.44.11%20AM.jpeg,,https://forms.gle/RwGfin7Vpm7RppR19,1
248aeff1-548d-453c-8339-8f55bb07a9e9,From Contract to Customs: Managing Legal Risks in India–U.S. Trade,"Managing Legal Risks in India–U.S. Trade on the India–USA Trade Facilitation Portal. Speakers: Niyati Ahuja (Cross Border Disputes/Mitigation Strategy), Michael Lowell (Trade and Export Control Regulations), Jason Starr (Company Formation/Corporate Strategy).",Consulate General of India - New York,2026-09-15,2026-09-15,Virtual,VIRTUAL,http://indiausatrade.mea.gov.in/api/public/image/stream?key=hero-slides%2F20260901T133950Z-353463-9c669aca-Media%20(3).jpg,,https://indiausatrade.mea.gov.in/?openUpcomingRegister=1,1
9152e60a-7bfa-479f-aa9c-051aa6c6f9af,India-USA Trade Facilitation Portal (Software and Technology Synergies),"The Consulate General of India, New York in collaboration with CGI, San Francisco has scheduled a webinar on the India-USA Trade Facilitation Portal (Software and Technology Synergies]) . During the session, participants will receive a comprehensive walk through of the key features of the India - USA Trade Facilitation Portal. The session will focus on trade and business engagement between the Indian and USA Software & Technology companies, followed by an interactive session of Question & Answer to address a specific queries.",Consulate General of India - New York,2026-09-03,2026-09-03,Virtual,VIRTUAL,http://indiausatrade.mea.gov.in/api/public/image/stream?key=hero-slides%2F20260901T203426Z-302355-2bfec1ed-1000%20AM%20EST%20730%20PM%20IST.jpg,,https://docs.google.com/forms/d/e/1FAIpQLSfRe2JEuF0kEtI8L8hjLj1pT_xZAUHlJZVgb_82FsAAbJaEew/viewform,1
018c9191-cbc4-414d-863d-4827259d3d40,Virtual Exhibition on The Indian Food Industry,"Indian Food Industry 
Agriculture Packaged and Diverse Food Products",Consulate General of India - New York,2026-09-16,2026-09-16,Virtual,VIRTUAL,http://indiausatrade.mea.gov.in/api/public/image/stream?key=hero-slides%2F20260901T212728Z-250425-976916fc-Indian%20Food%20Industry%20Agriculture%2C%20Packaged%20%26%20Diverse%20Food%20Products(2).png,,https://indiausatrade.mea.gov.in/?openUpcomingRegister=1,1
